L1 Language,N Samples,N Errors,False Positives,FPR,Mean AI Prob,Std AI Prob,Median AI Prob
Arabic,60,0,35,0.5833333333333334,0.5531212400024136,0.23558926767472654,0.5566441416740417
Chinese,60,0,43,0.7166666666666667,0.6244450080577129,0.25240768579905626,0.6871803104877472
English,60,0,50,0.8333333333333334,0.6171059251142045,0.20254006758090992,0.5679992437362671
French,60,0,44,0.7333333333333333,0.5938985693578919,0.21028926198695772,0.5915132462978363
Japanese,60,0,47,0.7833333333333333,0.6318395890916387,0.23774769937206053,0.6322507262229919
Korean,60,0,45,0.75,0.6278568324632943,0.2713137055223217,0.6616052091121674
Spanish,60,0,48,0.8,0.645390548510477,0.20931651839796367,0.6600700914859772
Thai,60,0,46,0.7666666666666667,0.6538353182375432,0.22146034049183475,0.6767431497573853
Turkish,60,0,44,0.7333333333333333,0.6309155891338984,0.1984046817928021,0.6393839418888092
