L1 Language,N Samples,N Errors,False Positives,FPR,Mean AI Prob,Std AI Prob,Median AI Prob
Arabic,100,0,51,0.51,0.49633123658597467,0.09004037969825883,0.5012340843677521
Chinese,100,0,66,0.66,0.5169099383056164,0.08478330511120229,0.5168403685092926
English,26,0,21,0.8076923076923077,0.5129456972846618,0.0723796837026828,0.5261209607124329
French,100,0,65,0.65,0.5091140538454055,0.06657518998418074,0.5205980539321899
Japanese,100,0,64,0.64,0.5080319917201996,0.08979806275217166,0.5205867886543274
Korean,100,0,66,0.66,0.509244821369648,0.09341093533791645,0.5306084156036377
Spanish,100,0,71,0.71,0.5280469343066215,0.07775268562855335,0.5289044976234436
Thai,100,0,47,0.47,0.4896294915676117,0.0825305313765953,0.49350087344646454
Turkish,100,0,58,0.58,0.5120374158024787,0.0841942128228696,0.5076621174812317
