L1 Language,N Samples,N Errors,False Positives,FPR,Mean AI Prob,Std AI Prob,Median AI Prob
Arabic,100,0,68,0.68,0.6190891130035743,0.31764301292875335,0.7603540420532227
Chinese,100,0,83,0.83,0.7120198138989509,0.28017728794904223,0.8300889432430267
English,9,0,6,0.6666666666666666,0.6597551165355576,0.3939000684794294,0.9019888043403625
French,53,0,34,0.6415094339622641,0.5740521545620758,0.33978372132270673,0.7154566645622253
Japanese,100,0,79,0.79,0.7102681466005742,0.2854275216394195,0.8610893487930298
Korean,100,0,72,0.72,0.6604028803762049,0.3053164287081844,0.7954165637493134
Spanish,100,0,79,0.79,0.7002316904289182,0.29559023076034924,0.8454072177410126
Thai,100,0,87,0.87,0.7498684066161513,0.2549286871150378,0.8510571122169495
Turkish,100,0,78,0.78,0.6756441590562463,0.2752195332621486,0.7690569758415222
