L1 Language,N Samples,N Errors,False Positives,FPR,Mean AI Prob,Std AI Prob,Median AI Prob
Arabic,100,0,77,0.77,0.6682842960208655,0.297328305941744,0.7843809127807617
Chinese,100,0,85,0.85,0.721570979943499,0.27328075022635107,0.826750785112381
French,55,0,45,0.8181818181818182,0.6926008906554092,0.27322050954793226,0.78013676404953
Japanese,100,0,87,0.87,0.7796165162976831,0.24641175572960777,0.887096643447876
Korean,100,0,82,0.82,0.7320095613203011,0.2799293596248781,0.8588381111621857
Spanish,100,0,75,0.75,0.6638708932884038,0.29342369552191594,0.7825606465339661
Thai,100,0,82,0.82,0.7256368549913168,0.2491552514462751,0.8313874304294586
Turkish,100,0,83,0.83,0.7374849313404411,0.26637808018513837,0.8588863611221313
